Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected),Pattern 8 (%),Pattern 8 (% Detected),Pattern 9 (%),Pattern 9 (% Detected),Pattern 10 (%),Pattern 10 (% Detected)
36,0.15077902496230525,0.1636219221604448,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.3,0.21428571428571427,0.2,0.07407407407407407,0.2,0.2,0.3,0.3,0.1,0.1,0.0,0.0
37,0.15496733121125816,0.1675933280381255,0.0,0.2,0.2,0.6,0.1276595744680851,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.3,0.21428571428571427,0.2,0.07407407407407407,0.2,0.2,0.3,0.3,0.1,0.1,0.0,0.0
38,0.15915563746021108,0.17235901509134233,0.0,0.2,0.2,0.7,0.14893617021276595,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.3,0.21428571428571427,0.2,0.07407407407407407,0.2,0.2,0.3,0.3,0.1,0.1,0.0,0.0
39,0.16334394370916402,0.1755361397934869,0.0,0.2,0.2,0.7,0.14893617021276595,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.3,0.21428571428571427,0.2,0.07407407407407407,0.2,0.2,0.3,0.3,0.1,0.1,0.0,0.0
40,0.16753224995811694,0.181890389197776,0.0,0.3,0.3,0.7,0.14893617021276595,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.3,0.21428571428571427,0.3,0.1111111111111111,0.2,0.2,0.3,0.3,0.2,0.2,0.0,0.0
41,0.17172055620706986,0.18427323272438442,0.0,0.3,0.3,0.7,0.14893617021276595,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.3,0.21428571428571427,0.3,0.1111111111111111,0.2,0.2,0.3,0.3,0.2,0.2,0.0,0.0
42,0.17590886245602277,0.18824463860206514,0.0,0.3,0.3,0.7,0.14893617021276595,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.3,0.21428571428571427,0.3,0.1111111111111111,0.2,0.2,0.3,0.3,0.2,0.2,0.0,0.0
43,0.18009716870497572,0.19221604447974583,0.0,0.3,0.3,0.7,0.14893617021276595,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.3,0.21428571428571427,0.3,0.1111111111111111,0.2,0.2,0.3,0.3,0.2,0.2,0.0,0.0
44,0.18428547495392864,0.19618745035742652,0.0,0.3,0.3,0.7,0.14893617021276595,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.3,0.21428571428571427,0.3,0.1111111111111111,0.2,0.2,0.4,0.4,0.2,0.2,0.0,0.0
45,0.18847378120288155,0.2017474185861795,0.0,0.3,0.3,0.7,0.14893617021276595,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.3,0.21428571428571427,0.5,0.18518518518518517,0.2,0.2,0.4,0.4,0.2,0.2,0.0,0.0
46,0.19266208745183447,0.2057188244638602,0.0,0.3,0.3,0.7,0.14893617021276595,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.5,0.18518518518518517,0.2,0.2,0.4,0.4,0.2,0.2,0.0,0.0
47,0.1968503937007874,0.20889594916600476,0.0,0.3,0.3,0.7,0.14893617021276595,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.5,0.18518518518518517,0.2,0.2,0.4,0.4,0.2,0.2,0.0,0.0
48,0.20103869994974033,0.21207307386814933,0.0,0.3,0.3,0.7,0.14893617021276595,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.5,0.18518518518518517,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
49,0.20522700619869325,0.21525019857029387,0.0,0.3,0.3,0.7,0.14893617021276595,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.5,0.18518518518518517,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
50,0.20941531244764616,0.21683876092136617,0.0,0.3,0.3,0.7,0.14893617021276595,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.4,0.2857142857142857,0.5,0.18518518518518517,0.2,0.2,0.5,0.5,0.2,0.2,0.0,0.0
