Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected),Pattern 8 (%),Pattern 8 (% Detected),Pattern 9 (%),Pattern 9 (% Detected),Pattern 10 (%),Pattern 10 (% Detected)
76,0.31831127492042216,0.3190751445086705,0.0,0.3,0.3,1.0,0.425531914893617,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
77,0.3224995811693751,0.3190751445086705,0.0,0.3,0.3,1.0,0.425531914893617,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
78,0.32668788741832805,0.3213872832369942,0.0,0.3,0.3,1.0,0.425531914893617,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
79,0.33087619366728094,0.3260115606936416,0.0,0.3,0.3,1.0,0.425531914893617,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
80,0.3350644999162339,0.33179190751445087,0.0,0.3,0.3,1.0,0.425531914893617,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
81,0.33925280616518677,0.33872832369942196,0.0,0.3,0.3,1.0,0.425531914893617,0.5,0.5,0.5,0.35714285714285715,0.3,0.3,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
82,0.3434411124141397,0.34335260115606936,0.0,0.3,0.3,1.0,0.425531914893617,0.5,0.5,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
83,0.34762941866309266,0.3468208092485549,0.0,0.3,0.3,1.0,0.425531914893617,0.5,0.5,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
84,0.35181772491204555,0.35028901734104045,0.0,0.3,0.3,1.0,0.425531914893617,0.5,0.5,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.5,0.18518518518518517,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
85,0.3560060311609985,0.3583815028901734,0.0,0.3,0.3,1.0,0.44680851063829785,0.5,0.5,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.6,0.2222222222222222,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
86,0.36019433740995144,0.36416184971098264,0.0,0.3,0.3,1.0,0.46808510638297873,0.5,0.5,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.6,0.2222222222222222,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
87,0.3643826436589043,0.36647398843930634,0.0,0.3,0.3,1.0,0.46808510638297873,0.5,0.5,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.6,0.2222222222222222,0.4,0.4,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
88,0.36857094990785727,0.37109826589595374,0.0,0.3,0.3,1.0,0.46808510638297873,0.5,0.5,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.7,0.25925925925925924,0.4,0.4,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
89,0.37275925615681016,0.37572254335260113,0.0,0.3,0.3,1.0,0.46808510638297873,0.5,0.5,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.7,0.25925925925925924,0.4,0.4,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
90,0.3769475624057631,0.3791907514450867,0.0,0.3,0.3,1.0,0.46808510638297873,0.6,0.6,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.7,0.25925925925925924,0.4,0.4,0.4,0.4,0.3,0.3,0.6,0.5454545454545454
91,0.38113586865471605,0.3838150289017341,0.0,0.3,0.3,1.0,0.46808510638297873,0.6,0.6,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.7,0.25925925925925924,0.4,0.4,0.5,0.5,0.3,0.3,0.6,0.5454545454545454
92,0.38532417490366894,0.3884393063583815,0.0,0.3,0.3,1.0,0.46808510638297873,0.6,0.6,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.7,0.25925925925925924,0.4,0.4,0.5,0.5,0.3,0.3,0.6,0.5454545454545454
93,0.3895124811526219,0.3919075144508671,0.0,0.3,0.3,1.0,0.46808510638297873,0.7,0.7,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.7,0.25925925925925924,0.4,0.4,0.5,0.5,0.3,0.3,0.6,0.5454545454545454
94,0.3937007874015748,0.3988439306358382,0.0,0.3,0.3,1.0,0.46808510638297873,0.7,0.7,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.7,0.25925925925925924,0.4,0.4,0.5,0.5,0.3,0.3,0.6,0.5454545454545454
95,0.3978890936505277,0.40346820809248557,0.0,0.3,0.3,1.0,0.46808510638297873,0.7,0.7,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.7,0.25925925925925924,0.4,0.4,0.5,0.5,0.3,0.3,0.6,0.5454545454545454
96,0.40207739989948066,0.40809248554913297,0.0,0.3,0.3,1.0,0.46808510638297873,0.7,0.7,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.7,0.25925925925925924,0.4,0.4,0.5,0.5,0.4,0.4,0.6,0.5454545454545454
97,0.40626570614843355,0.41271676300578036,0.0,0.4,0.4,1.0,0.46808510638297873,0.7,0.7,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.7,0.25925925925925924,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5454545454545454
98,0.4104540123973865,0.4184971098265896,0.0,0.5,0.5,1.0,0.48936170212765956,0.7,0.7,0.5,0.35714285714285715,0.4,0.4,0.2,0.14285714285714285,0.7,0.25925925925925924,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5454545454545454
