Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected)
35,0.1463455427328985,0.17411988582302568,0.0,1.0,0.08849557522123894,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
36,0.15052684395383845,0.17887725975261656,0.0,1.0,0.08849557522123894,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
37,0.15470814517477838,0.18839200761179828,0.0,1.0,0.09557522123893805,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
38,0.15888944639571834,0.19029495718363462,0.0,1.0,0.09557522123893805,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
39,0.1630707476166583,0.1912464319695528,0.0,1.0,0.09557522123893805,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
40,0.16725204883759826,0.1950523311132255,0.0,1.0,0.09911504424778761,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
41,0.17143335005853821,0.20361560418648905,0.0,1.0,0.10619469026548672,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0
42,0.17561465127947817,0.20647002854424357,0.0,1.0,0.1079646017699115,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0
43,0.17979595250041813,0.21217887725975262,0.0,1.0,0.11327433628318584,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0
44,0.1839772537213581,0.2131303520456708,0.0,1.0,0.11327433628318584,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0
